# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_ms1.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.836638e-04 8.528946e+00 4.141272e-01 4.236170e-01 8.948100e+00 4.763407e+05 3.923929e-04 9.216210e+00
 3.844867e-04 8.528282e+00 4.162394e-01 4.258347e-01 8.949600e+00 4.658153e+05 3.932595e-04 9.218810e+00
 3.853114e-04 8.527708e+00 4.183613e-01 4.280630e-01 8.951200e+00 4.554914e+05 3.941282e-04 9.221519e+00
 3.861379e-04 8.527123e+00 4.204927e-01 4.303019e-01 8.952800e+00 4.454095e+05 3.949989e-04 9.224232e+00
 3.869661e-04 8.526529e+00 4.226337e-01 4.325515e-01 8.954400e+00 4.355637e+05 3.958717e-04 9.226949e+00
 3.877961e-04 8.525925e+00 4.247843e-01 4.348117e-01 8.956000e+00 4.259201e+05 3.967465e-04 9.229670e+00
 3.886279e-04 8.525410e+00 4.269446e-01 4.370827e-01 8.957700e+00 4.165025e+05 3.976233e-04 9.232500e+00
 3.894614e-04 8.524885e+00 4.291145e-01 4.393644e-01 8.959400e+00 4.073053e+05 3.985023e-04 9.235334e+00
 3.902968e-04 8.524350e+00 4.312942e-01 4.416570e-01 8.961100e+00 3.982833e+05 3.993832e-04 9.238172e+00
 3.911340e-04 8.523905e+00 4.334835e-01 4.439603e-01 8.962900e+00 3.894858e+05 4.002663e-04 9.241119e+00
 3.919729e-04 8.523350e+00 4.356827e-01 4.462745e-01 8.964600e+00 3.808814e+05 4.011514e-04 9.243965e+00
 3.928136e-04 8.522984e+00 4.378915e-01 4.485996e-01 8.966500e+00 3.724908e+05 4.020386e-04 9.247026e+00
 3.936562e-04 8.522508e+00 4.401102e-01 4.509357e-01 8.968300e+00 3.642593e+05 4.029279e-04 9.249986e+00
 3.945005e-04 8.522121e+00 4.423387e-01 4.532826e-01 8.970200e+00 3.562204e+05 4.038193e-04 9.253055e+00
 3.953467e-04 8.521624e+00 4.445771e-01 4.556406e-01 8.972000e+00 3.483695e+05 4.047128e-04 9.256022e+00
 3.961947e-04 8.521317e+00 4.468253e-01 4.580097e-01 8.974000e+00 3.406788e+05 4.056084e-04 9.259205e+00
 3.970445e-04 8.520899e+00 4.490835e-01 4.603897e-01 8.975900e+00 3.331680e+05 4.065062e-04 9.262287e+00
 3.978961e-04 8.520571e+00 4.513515e-01 4.627809e-01 8.977900e+00 3.258327e+05 4.074060e-04 9.265478e+00
 3.987496e-04 8.520233e+00 4.536295e-01 4.651832e-01 8.979900e+00 3.186578e+05 4.083079e-04 9.268674e+00
 3.996048e-04 8.519883e+00 4.559175e-01 4.675967e-01 8.981900e+00 3.116397e+05 4.092120e-04 9.271873e+00
 4.004619e-04 8.519523e+00 4.582154e-01 4.700214e-01 8.983900e+00 3.047750e+05 4.101183e-04 9.275078e+00
 4.013209e-04 8.519253e+00 4.605234e-01 4.724573e-01 8.986000e+00 2.980602e+05 4.110266e-04 9.278392e+00
 4.021817e-04 8.518972e+00 4.628414e-01 4.749044e-01 8.988100e+00 2.915024e+05 4.119371e-04 9.281710e+00
 4.030443e-04 8.518680e+00 4.651695e-01 4.773629e-01 8.990200e+00 2.850977e+05 4.128498e-04 9.285033e+00
 4.039088e-04 8.518378e+00 4.675077e-01 4.798327e-01 8.992300e+00 2.788228e+05 4.137646e-04 9.288360e+00
 4.047752e-04 8.518165e+00 4.698559e-01 4.823139e-01 8.994500e+00 2.726944e+05 4.146816e-04 9.291798e+00
 4.056434e-04 8.517941e+00 4.722144e-01 4.848065e-01 8.996700e+00 2.667091e+05 4.156008e-04 9.295240e+00
 4.065134e-04 8.517706e+00 4.745829e-01 4.873105e-01 8.998900e+00 2.608540e+05 4.165221e-04 9.298686e+00
 4.073854e-04 8.517461e+00 4.769617e-01 4.898260e-01 9.001100e+00 2.551264e+05 4.174456e-04 9.302137e+00
 4.082592e-04 8.517305e+00 4.793506e-01 4.923530e-01 9.003400e+00 2.495234e+05 4.183713e-04 9.305699e+00
 4.091348e-04 8.517138e+00 4.817498e-01 4.948915e-01 9.005700e+00 2.440425e+05 4.192992e-04 9.309265e+00
 4.100124e-04 8.516960e+00 4.841593e-01 4.974416e-01 9.008000e+00 2.386893e+05 4.202293e-04 9.312835e+00
 4.108918e-04 8.516771e+00 4.865790e-01 5.000033e-01 9.010300e+00 2.334610e+05 4.211617e-04 9.316411e+00
 4.117731e-04 8.516672e+00 4.890090e-01 5.025766e-01 9.012700e+00 2.283379e+05 4.220962e-04 9.320096e+00
 4.126564e-04 8.516461e+00 4.914493e-01 5.051616e-01 9.015000e+00 2.233342e+05 4.230329e-04 9.323681e+00
 4.135415e-04 8.516339e+00 4.939000e-01 5.077583e-01 9.017400e+00 2.184471e+05 4.239719e-04 9.327377e+00
 4.144285e-04 8.516206e+00 4.963610e-01 5.103667e-01 9.019800e+00 2.136660e+05 4.249131e-04 9.331077e+00
 4.153174e-04 8.516163e+00 4.988324e-01 5.129869e-01 9.022300e+00 2.089885e+05 4.258566e-04 9.334888e+00
 4.162082e-04 8.516008e+00 5.013142e-01 5.156190e-01 9.024700e+00 2.044124e+05 4.268023e-04 9.338597e+00
 4.171009e-04 8.515942e+00 5.038065e-01 5.182628e-01 9.027200e+00 1.999355e+05 4.277502e-04 9.342418e+00
 4.179956e-04 8.515865e+00 5.063092e-01 5.209185e-01 9.029700e+00 1.955628e+05 4.287004e-04 9.346244e+00
 4.188921e-04 8.515777e+00 5.088223e-01 5.235861e-01 9.032200e+00 1.912919e+05 4.296529e-04 9.350074e+00
 4.197906e-04 8.515678e+00 5.113460e-01 5.262656e-01 9.034700e+00 1.871064e+05 4.306076e-04 9.353910e+00
 4.206910e-04 8.515667e+00 5.138802e-01 5.289571e-01 9.037300e+00 1.830251e+05 4.315647e-04 9.357856e+00
 4.215934e-04 8.515546e+00 5.164249e-01 5.316606e-01 9.039800e+00 1.790253e+05 4.325240e-04 9.361701e+00
 4.224976e-04 8.515513e+00 5.189801e-01 5.343761e-01 9.042400e+00 1.751184e+05 4.334856e-04 9.365658e+00
 4.234038e-04 8.515468e+00 5.215459e-01 5.371037e-01 9.045000e+00 1.712959e+05 4.344495e-04 9.369620e+00
 4.243120e-04 8.515513e+00 5.241224e-01 5.398433e-01 9.047700e+00 1.675560e+05 4.354157e-04 9.373693e+00
 4.252221e-04 8.515446e+00 5.267094e-01 5.425951e-01 9.050300e+00 1.639029e+05 4.363842e-04 9.377665e+00
 4.261342e-04 8.515468e+00 5.293071e-01 5.453590e-01 9.053000e+00 1.603347e+05 4.373550e-04 9.381748e+00
 4.270482e-04 8.515478e+00 5.319154e-01 5.481351e-01 9.055700e+00 1.568374e+05 4.383281e-04 9.385837e+00
 4.279642e-04 8.515477e+00 5.345344e-01 5.509235e-01 9.058400e+00 1.534213e+05 4.393036e-04 9.389931e+00
 4.288821e-04 8.515465e+00 5.371641e-01 5.537241e-01 9.061100e+00 1.500845e+05 4.402814e-04 9.394030e+00
 4.298020e-04 8.515441e+00 5.398045e-01 5.565369e-01 9.063800e+00 1.468194e+05 4.412616e-04 9.398134e+00
 4.307239e-04 8.515506e+00 5.424556e-01 5.593621e-01 9.066600e+00 1.436245e+05 4.422441e-04 9.402350e+00
 4.316478e-04 8.515559e+00 5.451175e-01 5.621996e-01 9.069400e+00 1.404983e+05 4.432290e-04 9.406571e+00
 4.325736e-04 8.515600e+00 5.477901e-01 5.650495e-01 9.072200e+00 1.374393e+05 4.442162e-04 9.410798e+00
 4.335014e-04 8.515630e+00 5.504736e-01 5.679118e-01 9.075000e+00 1.344513e+05 4.452058e-04 9.415030e+00
 4.344312e-04 8.515649e+00 5.531678e-01 5.707865e-01 9.077800e+00 1.315325e+05 4.461978e-04 9.419268e+00
 4.353631e-04 8.515656e+00 5.558729e-01 5.736737e-01 9.080600e+00 1.286813e+05 4.471921e-04 9.423511e+00
 4.362969e-04 8.515751e+00 5.585888e-01 5.765734e-01 9.083500e+00 1.258813e+05 4.481889e-04 9.427866e+00
 4.372327e-04 8.515735e+00 5.613156e-01 5.794856e-01 9.086300e+00 1.231511e+05 4.491881e-04 9.432120e+00
 4.381705e-04 8.515807e+00 5.640532e-01 5.824104e-01 9.089200e+00 1.204793e+05 4.501896e-04 9.436486e+00
 4.391103e-04 8.515867e+00 5.668018e-01 5.853477e-01 9.092100e+00 1.178648e+05 4.511936e-04 9.440858e+00
 4.400522e-04 8.515915e+00 5.695612e-01 5.882977e-01 9.095000e+00 1.153153e+05 4.522000e-04 9.445235e+00
 4.409960e-04 8.516052e+00 5.723316e-01 5.912603e-01 9.098000e+00 1.128112e+05 4.532088e-04 9.449725e+00
 4.419419e-04 8.516077e+00 5.751129e-01 5.942356e-01 9.100900e+00 1.103740e+05 4.542200e-04 9.454113e+00
 4.428899e-04 8.516191e+00 5.779052e-01 5.972236e-01 9.103900e+00 1.079801e+05 4.552337e-04 9.458615e+00
 4.438398e-04 8.516192e+00 5.807085e-01 6.002243e-01 9.106800e+00 1.056416e+05 4.562499e-04 9.463014e+00
 4.447918e-04 8.516282e+00 5.835227e-01 6.032377e-01 9.109800e+00 1.033571e+05 4.572685e-04 9.467527e+00
 4.457458e-04 8.516360e+00 5.863480e-01 6.062640e-01 9.112800e+00 1.011214e+05 4.582895e-04 9.472045e+00
 4.467019e-04 8.516526e+00 5.891843e-01 6.093031e-01 9.115900e+00 9.893727e+04 4.593131e-04 9.476677e+00
 4.476601e-04 8.516580e+00 5.920316e-01 6.123550e-01 9.118900e+00 9.679574e+04 4.603391e-04 9.481207e+00
 4.486202e-04 8.516622e+00 5.948900e-01 6.154198e-01 9.121900e+00 9.470752e+04 4.613675e-04 9.485743e+00
 4.495825e-04 8.516752e+00 5.977595e-01 6.184975e-01 9.125000e+00 9.265993e+04 4.623985e-04 9.490392e+00
 4.505468e-04 8.516870e+00 6.006400e-01 6.215881e-01 9.128100e+00 9.066330e+04 4.634320e-04 9.495046e+00
 4.515132e-04 8.516876e+00 6.035317e-01 6.246917e-01 9.131100e+00 8.870543e+04 4.644680e-04 9.499600e+00
 4.524816e-04 8.516971e+00 6.064344e-01 6.278083e-01 9.134200e+00 8.679272e+04 4.655065e-04 9.504267e+00
 4.534522e-04 8.517053e+00 6.093483e-01 6.309379e-01 9.137300e+00 8.492408e+04 4.665475e-04 9.508939e+00
 4.544248e-04 8.517223e+00 6.122733e-01 6.340805e-01 9.140500e+00 8.309164e+04 4.675910e-04 9.513726e+00
 4.553995e-04 8.517281e+00 6.152095e-01 6.372362e-01 9.143600e+00 8.130479e+04 4.686371e-04 9.518410e+00
 4.563763e-04 8.517327e+00 6.181568e-01 6.404050e-01 9.146700e+00 7.955247e+04 4.696857e-04 9.523101e+00
 4.573551e-04 8.517461e+00 6.211153e-01 6.435870e-01 9.149900e+00 7.784051e+04 4.707369e-04 9.527906e+00
 4.583361e-04 8.517583e+00 6.240850e-01 6.467820e-01 9.153100e+00 7.616793e+04 4.717906e-04 9.532717e+00
 4.593192e-04 8.517593e+00 6.270659e-01 6.499902e-01 9.156200e+00 7.453071e+04 4.728469e-04 9.537426e+00
 4.603044e-04 8.517691e+00 6.300581e-01 6.532117e-01 9.159400e+00 7.292808e+04 4.739058e-04 9.542249e+00
 4.612917e-04 8.517776e+00 6.330614e-01 6.564463e-01 9.162600e+00 7.135932e+04 4.749672e-04 9.547078e+00
 4.622811e-04 8.517849e+00 6.360760e-01 6.596942e-01 9.165800e+00 6.982664e+04 4.760312e-04 9.551914e+00
 4.632727e-04 8.517910e+00 6.391018e-01 6.629554e-01 9.169000e+00 6.832917e+04 4.770979e-04 9.556756e+00
