# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_eng.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.200981e-04 7.232147e+00 2.014497e-01 2.036251e-01 7.435000e+00 3.800466e+06 5.303869e-04 7.594604e+00
 5.211215e-04 7.225753e+00 2.025279e-01 2.047339e-01 7.429700e+00 3.710659e+06 5.314509e-04 7.589841e+00
 5.221469e-04 7.219552e+00 2.036124e-01 2.058493e-01 7.424600e+00 3.622911e+06 5.325172e-04 7.585285e+00
 5.231743e-04 7.213445e+00 2.047032e-01 2.069715e-01 7.419600e+00 3.537323e+06 5.335857e-04 7.580834e+00
 5.242038e-04 7.207330e+00 2.058005e-01 2.081005e-01 7.414600e+00 3.453767e+06 5.346565e-04 7.576383e+00
 5.252353e-04 7.201310e+00 2.069041e-01 2.092362e-01 7.409700e+00 3.372196e+06 5.357295e-04 7.572035e+00
 5.262688e-04 7.195382e+00 2.080142e-01 2.103788e-01 7.404900e+00 3.292560e+06 5.368047e-04 7.567792e+00
 5.273043e-04 7.189548e+00 2.091307e-01 2.115282e-01 7.400200e+00 3.214813e+06 5.378823e-04 7.563653e+00
 5.283419e-04 7.183708e+00 2.102537e-01 2.126845e-01 7.395500e+00 3.138980e+06 5.389621e-04 7.559515e+00
 5.293815e-04 7.178061e+00 2.113832e-01 2.138477e-01 7.391000e+00 3.065013e+06 5.400441e-04 7.555583e+00
 5.304232e-04 7.172407e+00 2.125193e-01 2.150178e-01 7.386500e+00 2.992662e+06 5.411285e-04 7.551653e+00
 5.314669e-04 7.166846e+00 2.136618e-01 2.161949e-01 7.382100e+00 2.922092e+06 5.422151e-04 7.547827e+00
 5.325127e-04 7.161378e+00 2.148110e-01 2.173789e-01 7.377800e+00 2.853324e+06 5.433041e-04 7.544105e+00
 5.335605e-04 7.155904e+00 2.159667e-01 2.185700e-01 7.373500e+00 2.786117e+06 5.443953e-04 7.540384e+00
 5.346104e-04 7.150623e+00 2.171290e-01 2.197681e-01 7.369400e+00 2.720437e+06 5.454888e-04 7.536870e+00
 5.356624e-04 7.145335e+00 2.182980e-01 2.209732e-01 7.365300e+00 2.656435e+06 5.465846e-04 7.533358e+00
 5.367164e-04 7.140040e+00 2.194737e-01 2.221855e-01 7.361200e+00 2.593945e+06 5.476828e-04 7.529846e+00
 5.377725e-04 7.134938e+00 2.206560e-01 2.234049e-01 7.357300e+00 2.532931e+06 5.487832e-04 7.526542e+00
 5.388307e-04 7.129829e+00 2.218451e-01 2.246315e-01 7.353400e+00 2.473357e+06 5.498860e-04 7.523239e+00
 5.398910e-04 7.124814e+00 2.230409e-01 2.258652e-01 7.349600e+00 2.415190e+06 5.509911e-04 7.520041e+00
 5.409533e-04 7.119891e+00 2.242434e-01 2.271061e-01 7.345900e+00 2.358510e+06 5.520986e-04 7.516947e+00
 5.420178e-04 7.115061e+00 2.254527e-01 2.283543e-01 7.342300e+00 2.303053e+06 5.532083e-04 7.513958e+00
 5.430843e-04 7.110225e+00 2.266689e-01 2.296098e-01 7.338700e+00 2.248960e+06 5.543205e-04 7.510969e+00
 5.441529e-04 7.105481e+00 2.278919e-01 2.308725e-01 7.335200e+00 2.196195e+06 5.554349e-04 7.508086e+00
 5.452237e-04 7.100730e+00 2.291217e-01 2.321426e-01 7.331700e+00 2.144620e+06 5.565518e-04 7.505203e+00
 5.462965e-04 7.096172e+00 2.303584e-01 2.334200e-01 7.328400e+00 2.094312e+06 5.576710e-04 7.502529e+00
 5.473715e-04 7.091607e+00 2.316020e-01 2.347048e-01 7.325100e+00 2.045136e+06 5.587926e-04 7.499856e+00
 5.484486e-04 7.087035e+00 2.328526e-01 2.359971e-01 7.321800e+00 1.997220e+06 5.599165e-04 7.497184e+00
 5.495277e-04 7.082655e+00 2.341101e-01 2.372967e-01 7.318700e+00 1.950380e+06 5.610428e-04 7.494720e+00
 5.506091e-04 7.078269e+00 2.353746e-01 2.386039e-01 7.315600e+00 1.904690e+06 5.621715e-04 7.492258e+00
 5.516925e-04 7.073875e+00 2.366461e-01 2.399185e-01 7.312500e+00 1.860074e+06 5.633027e-04 7.489797e+00
 5.527781e-04 7.069674e+00 2.379246e-01 2.412407e-01 7.309600e+00 1.816506e+06 5.644362e-04 7.487544e+00
 5.538658e-04 7.065465e+00 2.392102e-01 2.425705e-01 7.306700e+00 1.774008e+06 5.655721e-04 7.485293e+00
 5.549556e-04 7.061249e+00 2.405029e-01 2.439078e-01 7.303800e+00 1.732462e+06 5.667104e-04 7.483044e+00
 5.560476e-04 7.057226e+00 2.418026e-01 2.452528e-01 7.301100e+00 1.691890e+06 5.678511e-04 7.481003e+00
 5.571418e-04 7.053196e+00 2.431095e-01 2.466054e-01 7.298400e+00 1.652359e+06 5.689943e-04 7.478963e+00
 5.582381e-04 7.049158e+00 2.444236e-01 2.479657e-01 7.295700e+00 1.613711e+06 5.701399e-04 7.476925e+00
 5.593365e-04 7.045312e+00 2.457448e-01 2.493338e-01 7.293200e+00 1.576011e+06 5.712879e-04 7.475095e+00
 5.604371e-04 7.041359e+00 2.470732e-01 2.507095e-01 7.290600e+00 1.539153e+06 5.724383e-04 7.473164e+00
 5.615399e-04 7.037599e+00 2.484089e-01 2.520931e-01 7.288200e+00 1.503199e+06 5.735913e-04 7.471441e+00
 5.626449e-04 7.033831e+00 2.497518e-01 2.534844e-01 7.285800e+00 1.468127e+06 5.747466e-04 7.469720e+00
 5.637520e-04 7.030156e+00 2.511020e-01 2.548836e-01 7.283500e+00 1.433876e+06 5.759044e-04 7.468104e+00
 5.648613e-04 7.026473e+00 2.524595e-01 2.562907e-01 7.281200e+00 1.400347e+06 5.770647e-04 7.466490e+00
 5.659728e-04 7.022882e+00 2.538244e-01 2.577056e-01 7.279000e+00 1.367680e+06 5.782275e-04 7.464981e+00
 5.670865e-04 7.019284e+00 2.551965e-01 2.591285e-01 7.276800e+00 1.335777e+06 5.793927e-04 7.463474e+00
 5.682023e-04 7.015778e+00 2.565761e-01 2.605593e-01 7.274700e+00 1.304619e+06 5.805604e-04 7.462073e+00
 5.693204e-04 7.012365e+00 2.579631e-01 2.619981e-01 7.272700e+00 1.274262e+06 5.817306e-04 7.460777e+00
 5.704406e-04 7.008943e+00 2.593575e-01 2.634450e-01 7.270700e+00 1.244541e+06 5.829033e-04 7.459482e+00
 5.715631e-04 7.005614e+00 2.607593e-01 2.648999e-01 7.268800e+00 1.215550e+06 5.840785e-04 7.458293e+00
 5.726878e-04 7.002277e+00 2.621687e-01 2.663629e-01 7.266900e+00 1.187269e+06 5.852562e-04 7.457106e+00
 5.738147e-04 6.999033e+00 2.635855e-01 2.678340e-01 7.265100e+00 1.159614e+06 5.864364e-04 7.456025e+00
 5.749438e-04 6.995880e+00 2.650099e-01 2.693132e-01 7.263400e+00 1.132636e+06 5.876192e-04 7.455050e+00
 5.760751e-04 6.992720e+00 2.664418e-01 2.708006e-01 7.261700e+00 1.106255e+06 5.888044e-04 7.454076e+00
 5.772086e-04 6.989552e+00 2.678814e-01 2.722963e-01 7.260000e+00 1.080521e+06 5.899923e-04 7.453104e+00
 5.783444e-04 6.986576e+00 2.693285e-01 2.738002e-01 7.258500e+00 1.055417e+06 5.911826e-04 7.452342e+00
 5.794824e-04 6.983492e+00 2.707832e-01 2.753123e-01 7.256900e+00 1.030898e+06 5.923755e-04 7.451478e+00
 5.806227e-04 6.980500e+00 2.722457e-01 2.768328e-01 7.255400e+00 1.006888e+06 5.935709e-04 7.450720e+00
 5.817652e-04 6.977600e+00 2.737158e-01 2.783615e-01 7.254000e+00 9.834965e+05 5.947689e-04 7.450067e+00
 5.829099e-04 6.974692e+00 2.751936e-01 2.798987e-01 7.252600e+00 9.607085e+05 5.959695e-04 7.449417e+00
 5.840569e-04 6.971876e+00 2.766791e-01 2.814442e-01 7.251300e+00 9.383913e+05 5.971726e-04 7.448873e+00
 5.852062e-04 6.969052e+00 2.781725e-01 2.829982e-01 7.250000e+00 9.165927e+05 5.983783e-04 7.448331e+00
 5.863577e-04 6.966319e+00 2.796736e-01 2.845607e-01 7.248800e+00 8.953285e+05 5.995866e-04 7.447895e+00
 5.875115e-04 6.963679e+00 2.811825e-01 2.861316e-01 7.247700e+00 8.745855e+05 6.007975e-04 7.447565e+00
 5.886676e-04 6.960931e+00 2.826992e-01 2.877111e-01 7.246500e+00 8.542965e+05 6.020110e-04 7.447133e+00
 5.898259e-04 6.958374e+00 2.842238e-01 2.892991e-01 7.245500e+00 8.345048e+05 6.032271e-04 7.446912e+00
 5.909865e-04 6.955709e+00 2.857563e-01 2.908958e-01 7.244400e+00 8.151457e+05 6.044458e-04 7.446589e+00
 5.921494e-04 6.953236e+00 2.872967e-01 2.925010e-01 7.243500e+00 7.962612e+05 6.056671e-04 7.446476e+00
 5.933146e-04 6.950654e+00 2.888451e-01 2.941149e-01 7.242500e+00 7.778394e+05 6.068911e-04 7.446261e+00
 5.944820e-04 6.948264e+00 2.904014e-01 2.957375e-01 7.241700e+00 7.597947e+05 6.081177e-04 7.446257e+00
 5.956518e-04 6.945766e+00 2.919657e-01 2.973688e-01 7.240800e+00 7.422166e+05 6.093469e-04 7.446151e+00
 5.968239e-04 6.943460e+00 2.935381e-01 2.990089e-01 7.240100e+00 7.250453e+05 6.105788e-04 7.446256e+00
 5.979983e-04 6.941045e+00 2.951184e-01 3.006578e-01 7.239300e+00 7.082712e+05 6.118133e-04 7.446259e+00
 5.991750e-04 6.938721e+00 2.967069e-01 3.023154e-01 7.238600e+00 6.918850e+05 6.130504e-04 7.446368e+00
 6.003540e-04 6.936489e+00 2.983034e-01 3.039820e-01 7.238000e+00 6.759227e+05 6.142903e-04 7.446584e+00
 6.015353e-04 6.934249e+00 2.999080e-01 3.056574e-01 7.237400e+00 6.602847e+05 6.155328e-04 7.446803e+00
 6.027189e-04 6.932100e+00 3.015208e-01 3.073417e-01 7.236900e+00 6.450298e+05 6.167780e-04 7.447128e+00
 6.039049e-04 6.929843e+00 3.031418e-01 3.090350e-01 7.236300e+00 6.301485e+05 6.180259e-04 7.447351e+00
 6.050932e-04 6.927777e+00 3.047709e-01 3.107372e-01 7.235900e+00 6.155895e+05 6.192764e-04 7.447786e+00
 6.062839e-04 6.925703e+00 3.064083e-01 3.124485e-01 7.235500e+00 6.013870e+05 6.205297e-04 7.448223e+00
 6.074769e-04 6.923620e+00 3.080539e-01 3.141688e-01 7.235100e+00 5.875323e+05 6.217857e-04 7.448663e+00
 6.086722e-04 6.921628e+00 3.097078e-01 3.158982e-01 7.234800e+00 5.739570e+05 6.230444e-04 7.449209e+00
 6.098699e-04 6.919627e+00 3.113700e-01 3.176368e-01 7.234500e+00 5.607337e+05 6.243058e-04 7.449758e+00
 6.110700e-04 6.917618e+00 3.130405e-01 3.193844e-01 7.234200e+00 5.477958e+05 6.255699e-04 7.450310e+00
 6.122724e-04 6.915700e+00 3.147194e-01 3.211413e-01 7.234000e+00 5.351747e+05 6.268368e-04 7.450969e+00
 6.134771e-04 6.913873e+00 3.164066e-01 3.229073e-01 7.233900e+00 5.228441e+05 6.281064e-04 7.451735e+00
 6.146843e-04 6.911938e+00 3.181022e-01 3.246826e-01 7.233700e+00 5.108153e+05 6.293787e-04 7.452399e+00
 6.158938e-04 6.910194e+00 3.198062e-01 3.264672e-01 7.233700e+00 4.990452e+05 6.306539e-04 7.453275e+00
 6.171057e-04 6.908340e+00 3.215187e-01 3.282611e-01 7.233600e+00 4.875807e+05 6.319317e-04 7.454049e+00
 6.183200e-04 6.906578e+00 3.232397e-01 3.300643e-01 7.233600e+00 4.763451e+05 6.332124e-04 7.454931e+00
 6.195367e-04 6.904907e+00 3.249691e-01 3.318769e-01 7.233700e+00 4.653847e+05 6.344958e-04 7.455920e+00
 6.207558e-04 6.903127e+00 3.267071e-01 3.336990e-01 7.233700e+00 4.546925e+05 6.357820e-04 7.456807e+00
 6.219772e-04 6.901538e+00 3.284536e-01 3.355304e-01 7.233900e+00 4.442617e+05 6.370710e-04 7.457906e+00
 6.232011e-04 6.899841e+00 3.302087e-01 3.373714e-01 7.234000e+00 4.340382e+05 6.383629e-04 7.458903e+00
 6.244274e-04 6.898234e+00 3.319724e-01 3.392218e-01 7.234200e+00 4.240649e+05 6.396575e-04 7.460008e+00
 6.256561e-04 6.896718e+00 3.337447e-01 3.410818e-01 7.234500e+00 4.143356e+05 6.409549e-04 7.461221e+00
 6.268872e-04 6.895093e+00 3.355257e-01 3.429514e-01 7.234700e+00 4.048292e+05 6.422551e-04 7.462332e+00
 6.281207e-04 6.893558e+00 3.373153e-01 3.448306e-01 7.235000e+00 3.955404e+05 6.435582e-04 7.463550e+00
 6.293567e-04 6.892115e+00 3.391136e-01 3.467194e-01 7.235400e+00 3.864643e+05 6.448641e-04 7.464877e+00
 6.305951e-04 6.890662e+00 3.409207e-01 3.486179e-01 7.235800e+00 3.775959e+05 6.461729e-04 7.466206e+00
 6.318359e-04 6.889201e+00 3.427365e-01 3.505261e-01 7.236200e+00 3.689444e+05 6.474845e-04 7.467538e+00
 6.330792e-04 6.887830e+00 3.445610e-01 3.524440e-01 7.236700e+00 3.605043e+05 6.487990e-04 7.468979e+00
 6.343249e-04 6.886350e+00 3.463944e-01 3.543717e-01 7.237100e+00 3.522301e+05 6.501163e-04 7.470317e+00
 6.355731e-04 6.885060e+00 3.482366e-01 3.563093e-01 7.237700e+00 3.441583e+05 6.514365e-04 7.471868e+00
 6.368237e-04 6.883661e+00 3.500876e-01 3.582566e-01 7.238200e+00 3.362839e+05 6.527596e-04 7.473318e+00
 6.380768e-04 6.882353e+00 3.519474e-01 3.602139e-01 7.238800e+00 3.286018e+05 6.540856e-04 7.474876e+00
 6.393323e-04 6.881136e+00 3.538162e-01 3.621810e-01 7.239500e+00 3.210699e+05 6.554145e-04 7.476542e+00
