# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_ms1b.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 3.724449e-04 8.220119e+00 2.954262e-01 3.001270e-01 8.518200e+00 1.654462e+06 3.797140e-04 8.724105e+00
 3.731901e-04 8.217879e+00 2.970366e-01 3.017966e-01 8.517600e+00 1.616116e+06 3.804913e-04 8.724321e+00
 3.739367e-04 8.215630e+00 2.986555e-01 3.034753e-01 8.517000e+00 1.578703e+06 3.812702e-04 8.724539e+00
 3.746849e-04 8.213373e+00 3.002829e-01 3.051631e-01 8.516400e+00 1.542114e+06 3.820509e-04 8.724760e+00
 3.754346e-04 8.211206e+00 3.019188e-01 3.068602e-01 8.515900e+00 1.506373e+06 3.828332e-04 8.725088e+00
 3.761857e-04 8.209130e+00 3.035633e-01 3.085665e-01 8.515500e+00 1.471543e+06 3.836172e-04 8.725521e+00
 3.769384e-04 8.207046e+00 3.052165e-01 3.102822e-01 8.515100e+00 1.437479e+06 3.844029e-04 8.725957e+00
 3.776925e-04 8.205052e+00 3.068782e-01 3.120071e-01 8.514800e+00 1.404243e+06 3.851903e-04 8.726500e+00
 3.784482e-04 8.203050e+00 3.085487e-01 3.137414e-01 8.514500e+00 1.371736e+06 3.859795e-04 8.727044e+00
 3.792054e-04 8.201038e+00 3.102278e-01 3.154852e-01 8.514200e+00 1.340020e+06 3.867703e-04 8.727592e+00
 3.799641e-04 8.199118e+00 3.119157e-01 3.172383e-01 8.514000e+00 1.309075e+06 3.875628e-04 8.728246e+00
 3.807243e-04 8.197288e+00 3.136123e-01 3.190010e-01 8.513900e+00 1.278771e+06 3.883571e-04 8.729006e+00
 3.814861e-04 8.195449e+00 3.153177e-01 3.207731e-01 8.513800e+00 1.249241e+06 3.891530e-04 8.729770e+00
 3.822493e-04 8.193701e+00 3.170320e-01 3.225549e-01 8.513800e+00 1.220392e+06 3.899507e-04 8.730639e+00
 3.830141e-04 8.191944e+00 3.187551e-01 3.243462e-01 8.513800e+00 1.192210e+06 3.907501e-04 8.731512e+00
 3.837805e-04 8.190278e+00 3.204870e-01 3.261471e-01 8.513900e+00 1.164678e+06 3.915513e-04 8.732491e+00
 3.845483e-04 8.188602e+00 3.222279e-01 3.279577e-01 8.514000e+00 1.137782e+06 3.923542e-04 8.733473e+00
 3.853177e-04 8.187017e+00 3.239778e-01 3.297780e-01 8.514200e+00 1.111573e+06 3.931588e-04 8.734562e+00
