# MvsR for pwp /home/gieg/projects/BAM_old/src/projects/eos/tab/pwpfits/eos_sly.pwp
# rho_c, R_iso, M, Mb, R, Lambda, e_c, R_inv
 5.345251e-04 7.332426e+00 2.561370e-01 2.599035e-01 7.590800e+00 1.599848e+06 5.463296e-04 7.780035e+00
 5.357552e-04 7.328256e+00 2.573838e-01 2.611948e-01 7.587900e+00 1.564966e+06 5.476156e-04 7.777789e+00
 5.369882e-04 7.324180e+00 2.586365e-01 2.624924e-01 7.585100e+00 1.530881e+06 5.489048e-04 7.775648e+00
 5.382241e-04 7.320098e+00 2.598951e-01 2.637965e-01 7.582300e+00 1.497500e+06 5.501972e-04 7.773508e+00
 5.394627e-04 7.316110e+00 2.611597e-01 2.651069e-01 7.579600e+00 1.464882e+06 5.514928e-04 7.771474e+00
 5.407042e-04 7.312115e+00 2.624303e-01 2.664238e-01 7.576900e+00 1.433007e+06 5.527915e-04 7.769441e+00
 5.419486e-04 7.308114e+00 2.637068e-01 2.677472e-01 7.574200e+00 1.401755e+06 5.540935e-04 7.767410e+00
 5.431959e-04 7.304207e+00 2.649894e-01 2.690770e-01 7.571600e+00 1.371251e+06 5.553986e-04 7.765485e+00
 5.444460e-04 7.300294e+00 2.662779e-01 2.704133e-01 7.569000e+00 1.341410e+06 5.567070e-04 7.763561e+00
 5.456989e-04 7.296474e+00 2.675725e-01 2.717562e-01 7.566500e+00 1.312282e+06 5.580185e-04 7.761742e+00
 5.469548e-04 7.292749e+00 2.688732e-01 2.731056e-01 7.564100e+00 1.283720e+06 5.593333e-04 7.760029e+00
 5.482136e-04 7.288916e+00 2.701799e-01 2.744616e-01 7.561600e+00 1.255810e+06 5.606514e-04 7.758214e+00
 5.494752e-04 7.285278e+00 2.714927e-01 2.758242e-01 7.559300e+00 1.228536e+06 5.619727e-04 7.756608e+00
 5.507398e-04 7.281533e+00 2.728117e-01 2.771933e-01 7.556900e+00 1.201823e+06 5.632972e-04 7.754900e+00
 5.520073e-04 7.277882e+00 2.741367e-01 2.785691e-01 7.554600e+00 1.175719e+06 5.646250e-04 7.753298e+00
 5.532777e-04 7.274324e+00 2.754679e-01 2.799516e-01 7.552400e+00 1.150209e+06 5.659561e-04 7.751801e+00
 5.545510e-04 7.270760e+00 2.768052e-01 2.813407e-01 7.550200e+00 1.125252e+06 5.672905e-04 7.750306e+00
 5.558272e-04 7.267190e+00 2.781488e-01 2.827366e-01 7.548000e+00 1.100835e+06 5.686281e-04 7.748813e+00
 5.571064e-04 7.263713e+00 2.794985e-01 2.841391e-01 7.545900e+00 1.076945e+06 5.699691e-04 7.747426e+00
 5.583885e-04 7.260229e+00 2.808544e-01 2.855484e-01 7.543800e+00 1.053573e+06 5.713134e-04 7.746041e+00
 5.596736e-04 7.256840e+00 2.822165e-01 2.869645e-01 7.541800e+00 1.030733e+06 5.726610e-04 7.744761e+00
 5.609616e-04 7.253443e+00 2.835849e-01 2.883873e-01 7.539800e+00 1.008413e+06 5.740119e-04 7.743484e+00
 5.622526e-04 7.250040e+00 2.849595e-01 2.898169e-01 7.537800e+00 9.865487e+05 5.753661e-04 7.742208e+00
 5.635466e-04 7.246731e+00 2.863405e-01 2.912534e-01 7.535900e+00 9.651826e+05 5.767237e-04 7.741038e+00
 5.648435e-04 7.243415e+00 2.877277e-01 2.926967e-01 7.534000e+00 9.442520e+05 5.780847e-04 7.739870e+00
 5.661435e-04 7.240192e+00 2.891212e-01 2.941469e-01 7.532200e+00 9.238234e+05 5.794490e-04 7.738808e+00
 5.674464e-04 7.236963e+00 2.905210e-01 2.956040e-01 7.530400e+00 9.038353e+05 5.808167e-04 7.737748e+00
 5.687523e-04 7.233828e+00 2.919272e-01 2.970679e-01 7.528700e+00 8.842779e+05 5.821878e-04 7.736795e+00
 5.700612e-04 7.230585e+00 2.933398e-01 2.985389e-01 7.526900e+00 8.651420e+05 5.835623e-04 7.735739e+00
 5.713732e-04 7.227536e+00 2.947587e-01 3.000167e-01 7.525300e+00 8.464652e+05 5.849402e-04 7.734893e+00
 5.726881e-04 7.224380e+00 2.961840e-01 3.015016e-01 7.523600e+00 8.281441e+05 5.863214e-04 7.733946e+00
 5.740061e-04 7.221318e+00 2.976158e-01 3.029934e-01 7.522000e+00 8.102403e+05 5.877062e-04 7.733104e+00
 5.753271e-04 7.218249e+00 2.990539e-01 3.044923e-01 7.520400e+00 7.927441e+05 5.890943e-04 7.732265e+00
 5.766512e-04 7.215273e+00 3.004986e-01 3.059982e-01 7.518900e+00 7.756458e+05 5.904859e-04 7.731532e+00
 5.779783e-04 7.212290e+00 3.019496e-01 3.075112e-01 7.517400e+00 7.588720e+05 5.918809e-04 7.730801e+00
 5.793084e-04 7.209401e+00 3.034072e-01 3.090313e-01 7.516000e+00 7.425011e+05 5.932794e-04 7.730177e+00
 5.806417e-04 7.206404e+00 3.048712e-01 3.105585e-01 7.514500e+00 7.264818e+05 5.946814e-04 7.729450e+00
 5.819779e-04 7.203601e+00 3.063418e-01 3.120928e-01 7.513200e+00 7.108066e+05 5.960869e-04 7.728935e+00
 5.833173e-04 7.200691e+00 3.078189e-01 3.136343e-01 7.511800e+00 6.954679e+05 5.974958e-04 7.728317e+00
 5.846598e-04 7.197875e+00 3.093025e-01 3.151829e-01 7.510500e+00 6.804977e+05 5.989082e-04 7.727805e+00
 5.860053e-04 7.195051e+00 3.107927e-01 3.167388e-01 7.509200e+00 6.658290e+05 6.003242e-04 7.727296e+00
 5.873539e-04 7.192321e+00 3.122895e-01 3.183018e-01 7.508000e+00 6.514939e+05 6.017437e-04 7.726894e+00
 5.887057e-04 7.189483e+00 3.137928e-01 3.198721e-01 7.506700e+00 6.374473e+05 6.031667e-04 7.726390e+00
 5.900605e-04 7.186839e+00 3.153028e-01 3.214497e-01 7.505600e+00 6.237201e+05 6.045932e-04 7.726096e+00
 5.914185e-04 7.184088e+00 3.168194e-01 3.230345e-01 7.504400e+00 6.103049e+05 6.060233e-04 7.725701e+00
 5.927796e-04 7.181429e+00 3.183426e-01 3.246267e-01 7.503300e+00 5.971768e+05 6.074569e-04 7.725412e+00
 5.941438e-04 7.178764e+00 3.198725e-01 3.262262e-01 7.502200e+00 5.843296e+05 6.088941e-04 7.725126e+00
 5.955111e-04 7.176192e+00 3.214091e-01 3.278330e-01 7.501200e+00 5.717573e+05 6.103349e-04 7.724946e+00
 5.968816e-04 7.173613e+00 3.229524e-01 3.294472e-01 7.500200e+00 5.594706e+05 6.117793e-04 7.724769e+00
 5.982553e-04 7.171027e+00 3.245024e-01 3.310688e-01 7.499200e+00 5.474300e+05 6.132273e-04 7.724594e+00
